genenames,Control Mean,Treatment Mean,Log2FC
ENSG00000005812,6.699622140271947,6.5012166516585905,-0.19840548861335616
ENSG00000005844,9.419264473798533,10.029767834654654,0.6105033608561214
ENSG00000005882,4.370776310879682,4.203101829670645,-0.16767448120903694
ENSG00000005884,4.168963809803439,3.8766906187918417,-0.29227319101159743
ENSG00000005889,6.434843028135485,6.483338390212369,0.048495362076883985
ENSG00000005893,5.629360351732801,5.365189922575327,-0.264170429157474
ENSG00000005955,7.050307150575476,7.255777034431384,0.20546988385590836
ENSG00000005961,0.36370213041097355,0.4439578614954824,0.08025573108450884
ENSG00000006007,4.958726843459948,5.152761902692651,0.1940350592327036
ENSG00000006015,5.961797199681033,6.041354163186419,0.07955696350538588
ENSG00000006025,6.316617209217867,6.84663709147965,0.530019882261783
ENSG00000006062,6.868874871913573,6.573733497320539,-0.295141374593034
